Admin1Name,Admin2Name,dhs_Stunting,dhs_Stunting_U_UI,dhs_Stunting_L_UI,dhs_Wasting,dhs_Wasting_U_UI,dhs_Wasting_L_UI,dhs_Underweight,dhs_Underweight_U_UI,dhs_Underweight_L_UI,Admin2,location_id,has_aggregate_data,adm1,adm0,ihme_Stunting,ihme_Stunting_Upper,ihme_Stunting_Lower,ihme_Wasting,ihme_Wasting_Upper,ihme_Wasting_Lower,ihme_UnderW,ihme_UnderW_Upper,ihme_UnderW_Lower
Eastern,Chadiza,33.2,37.3,29.4,2.3,4.4,1,9.5,12,7.2,Chadiza,1003255,TRUE,Eastern,Zambia,50.7907,66.1883,33.7889,6.76296,12.4398,3.08769,13.3281,21.6645,7.20802
Eastern,Chama,32,35.7,28.2,5.6,9.4,3.2,12.5,15.5,9.6,Chama,1006255,TRUE,Muchinga,Zambia,49.9978,67.7244,34.6018,6.03848,10.2633,2.85112,15.1883,23.4368,8.95516
North-Western,Chavuma,30.9,36.3,25.6,3.1,7.7,1,11.9,15.9,8.4,Chavuma,1007255,TRUE,North-Western,Zambia,48.6988,66.8785,30.2473,7.84292,13.8036,3.6172,17.5206,27.5075,8.54044
Central,Chibombo,32.6,35.5,29.7,4.8,7.1,3,10.4,12.3,8.7,Chibombo,1001255,TRUE,Central,Zambia,38.4474,56.4054,23.1398,5.8381,11.9124,2.72603,10.9164,18.1654,5.43506
Luapula,Chienge,45.4,50.3,40,7.2,12.1,4,15.5,19.6,12.2,Chiengi,1004255,TRUE,Luapula,Zambia,46.7862,66.7833,28.6877,6.14412,11.3687,2.97227,14.5997,24.1663,7.77869
Copperbelt,Chililabombwe,33.8,38.6,29,3,6.5,1.1,11.9,15.7,8.9,Chililabombwe,1002255,TRUE,Copperbelt,Zambia,43.4833,64.7065,25.5691,5.60641,9.95731,2.40289,12.6017,23.9578,6.10751
Northern,Chilubi,45.3,49.5,41.2,3.2,6,1.5,15.4,18.8,12.4,Chilubi,1008255,TRUE,Northern,Zambia,52.8348,70.6979,35.0144,6.10442,11.0545,2.95632,16.5998,27.0092,9.27784
Copperbelt,Chingola,33.5,39.1,28.3,2.8,5.6,1.2,11.8,15.8,8.6,Chingola,2002255,TRUE,Copperbelt,Zambia,41.1433,62.5558,23.5127,5.5251,10.1912,2.29384,11.8603,20.4282,5.6973
Northern,Chinsali,38.2,41.9,34.6,5.4,8.8,3,14,17,11.4,Chinsali,2006255,TRUE,Muchinga,Zambia,49.0996,65.1286,32.1037,5.42676,9.65679,2.37992,15.7355,24.4314,8.94036
Eastern,Chipata,32.2,35.8,28.4,2.9,5,1.6,9.3,11.7,7.2,Chipata,2003255,TRUE,Eastern,Zambia,48.7733,64.4692,32.4881,5.92933,10.7941,2.89563,12.2825,19.5931,7.06368
Southern,Choma,30.6,34.8,26.6,3.3,5.9,1.7,10.4,13.2,8.1,Choma,1009255,TRUE,Southern,Zambia,41.882,59.61,25.061,6.7885,12.0045,3.42167,13.1713,21.5168,6.85936
Lusaka,Chongwe,32.8,35.9,29.9,5.4,8.5,3.3,10.7,12.8,8.8,Chongwe,1005255,TRUE,Lusaka,Zambia,39.6244,58.7358,22.8523,5.78503,10.8227,2.56687,11.421,19.2316,5.63839
Southern,Gwembe,30.4,34,26.8,3.7,7.5,1.4,10.9,13.6,8.5,Gwembe,2009255,TRUE,Southern,Zambia,43.6099,62.692,27.3028,5.64458,10.2823,2.82268,13.2115,22.8054,6.79496
Northern,Isoka,36.9,41.1,32.4,12.2,19.1,7.1,14.6,18.3,11.4,Isoka,3006255,TRUE,Muchinga,Zambia,46.339,62.7388,30.5568,5.33945,10.1504,2.36494,14.6537,22.5837,8.49017
Southern,Itezhi-tezhi,29.2,32.4,26.2,3.8,7.8,1.7,10.8,13.5,8.5,Itezhi-Tezhi,3009255,TRUE,Southern,Zambia,45.5363,63.4757,28.2115,7.24998,13.044,3.48406,15.2395,25.1111,8.09204
North-Western,Kabompo,32.1,36.3,28,3.3,6.6,1.3,12.4,15.8,9.4,Kabompo,2007255,TRUE,North-Western,Zambia,49.2744,68.7642,29.8754,6.76882,13.1543,3.22167,16.879,27.594,8.81327
Central,Kabwe,31.7,36.3,27.1,4.9,9.1,2.3,10.8,14,8,Kabwe,2001255,TRUE,Central,Zambia,42.7796,60.6632,26.2739,6.43664,11.3835,3.23318,12.1132,19.7543,6.49616
Lusaka,Kafue,33.3,38.1,28.8,4,6.4,2.4,10.3,13.4,7.7,Kafue,2005255,TRUE,Lusaka,Zambia,40.5693,59.6286,23.7414,7.78422,15.2835,3.54247,13.641,22.4646,7.07638
Western,Kalabo,29.7,33.8,25.8,4.5,8,2.3,13.4,16.9,10.5,Kalabo,1010255,TRUE,Western,Zambia,42.9425,61.0597,25.5172,7.33076,12.9101,3.67199,15.9874,26.0791,8.45496
Southern,Kalomo,29.1,32.3,26.2,2.9,4.5,1.6,10.5,12.9,8.4,Kalomo,4009255,TRUE,Southern,Zambia,43.1134,60.1309,26.4126,6.36991,10.7261,3.01071,13.5232,22.6571,7.19919
Copperbelt,Kalulushi,32.1,36,28.2,4.9,8.4,2.8,11.9,15,9.4,Kalulushi,3002255,TRUE,Copperbelt,Zambia,42.7091,63.8623,24.7998,5.74522,10.9967,2.46429,12.5442,21.7713,6.31686
Western,Kaoma,29.7,33.2,26.4,3.1,5.9,1.4,12.5,15.6,10,Kaoma,2010255,TRUE,Western,Zambia,47.027,65.7654,30.1396,6.34681,11.3298,3.2371,14.4998,23.0097,7.97609
Central,Kapiri-Mposhi,33,36,29.9,3.3,5.7,1.7,11.1,13.5,9,Kapiri Mposhi,3001255,TRUE,Central,Zambia,52.4087,70.1024,34.7047,5.49175,9.45233,2.80313,14.4607,23.9707,8.19948
Northern,Kaputa,44.1,48.3,40,4.4,7.8,2.2,14.9,18.2,12,Kaputa,2008255,TRUE,Northern,Zambia,50.6579,67.4931,33.8048,6.36132,11.4945,2.97092,18.5575,28.8501,10.5725
Northern,Kasama,41,45,37.2,2.8,5.4,1.4,14,17,11.3,Kasama,3008255,TRUE,Northern,Zambia,47.6315,64.6929,30.373,5.38417,9.43546,2.39338,15.3226,25.931,8.34757
North-Western,Kasempa,31.4,35.2,28,3.7,7.1,1.6,11.6,14.4,9.1,Kasempa,3007255,TRUE,North-Western,Zambia,47.2079,65.2029,29.9705,5.96893,10.8172,3.04626,14.3719,23.9844,7.36773
Eastern,Katete,34.2,37.9,30.6,2.3,4.1,1.1,9.9,12.4,7.8,Katete,3003255,TRUE,Eastern,Zambia,50.1488,67.9629,33.5101,6.60899,12.4,3.26641,12.4932,21.119,6.98943
Luapula,Kawambwa,44.8,49,41,4.8,8.2,2.6,15.4,18.8,12.4,Kawambwa,2004255,TRUE,Luapula,Zambia,50.4891,68.4065,33.6812,6.43607,11.7273,3.1022,18.8702,29.4934,10.1381
Southern,Kazungula,26.9,30.5,23.5,2.7,5.1,1.2,10,12.7,7.7,Kazungula,5009255,TRUE,Southern,Zambia,40.6527,58.2318,24.6898,7.20874,12.6938,3.39571,13.1437,21.1618,7.27831
Copperbelt,Kitwe,30.5,34.8,26,6.3,10,3.9,12.1,15.3,9.4,Kitwe,4002255,TRUE,Copperbelt,Zambia,39.1332,59.2142,22.0096,5.16498,9.63957,2.38631,11.1875,18.6883,5.68615
Southern,Livingstone,24.2,30,19.2,1.9,4.6,0.7,9,13.4,5.8,Livingstone,6009255,TRUE,Southern,Zambia,34.6612,53.2833,17.7014,6.17053,12.8751,2.29004,11.0884,20.2349,5.36092
Lusaka,Luangwa,30.9,35.4,26.7,5,10.1,2,11.4,14.9,8.6,Luangwa,3005255,TRUE,Lusaka,Zambia,39.3139,57.8983,23.1806,5.46982,10.1218,2.60213,10.8688,18.4584,5.5259
Copperbelt,Luanshya,32.8,37.2,28.8,5.7,9.4,3,12.2,15.7,9.4,Luanshya,5002255,TRUE,Copperbelt,Zambia,41.5643,61.9744,23.1026,5.52304,9.99745,2.63302,12.0087,21.317,6.06311
Copperbelt,Lufwanyama,33.2,36.4,30.4,3.6,6.4,1.9,11.7,13.9,9.7,Lufwanyama,6002255,TRUE,Copperbelt,Zambia,47.8099,66.4277,30.5656,6.05133,10.9406,2.91825,13.4081,23.0141,7.23121
Western,Lukulu,30,34,26.5,2.9,5.3,1.3,13.3,16.5,10.5,Lukulu,3010255,TRUE,Western,Zambia,41.676,60.0727,24.7087,6.35555,11.7914,2.98343,13.8784,22.454,7.29614
Eastern,Lundazi,34,37.7,30.7,2.9,5.3,1.5,10.9,13.7,8.4,Lundazi,4003255,TRUE,Eastern,Zambia,51.65,67.6033,34.4949,5.94526,10.6508,2.93033,14.5491,21.5477,9.44823
Lusaka,Lusaka,32.6,36.9,28.1,4.2,6.5,2.6,10.3,13.4,7.8,Lusaka,4005255,TRUE,Lusaka,Zambia,40.117,59.5094,23.9375,6.00726,10.9024,3.00577,11.8066,19.6924,5.90217
Northern,Luwingu,44.3,47.7,40.6,3.1,5.9,1.6,15.1,18.1,12.5,Luwingu,4008255,TRUE,Northern,Zambia,49.6995,67.5403,33.8966,5.91267,10.3396,2.94459,16.4289,26.6129,9.3622
Eastern,Mambwe,31.8,35.2,28.4,2.8,5.5,1.1,9.9,12.4,7.9,Mambwe,5003255,TRUE,Eastern,Zambia,49.1813,65.8493,33.68,6.59101,11.9259,3.17915,12.5735,20.9902,7.1104
Luapula,Mansa,41.2,44.8,37.6,3.8,6.3,2,13.8,16.8,11.2,Mansa,3004255,TRUE,Luapula,Zambia,47.9108,65.6791,31,6.26955,11.6032,3.00074,17.5011,28.2622,9.54111
Copperbelt,Masaiti,34,37.9,30.2,4.4,7.4,2.5,12.3,15.5,9.8,Masaiti,7002255,TRUE,Copperbelt,Zambia,46.2246,64.9714,29.0222,5.86538,10.8006,2.67574,13.3506,21.9904,7.38638
Southern,Mazabuka,31,33.9,28.2,3.9,6.7,2.2,10.3,12.6,8.5,Mazabuka,7009255,TRUE,Southern,Zambia,42.5151,60.3203,26.9401,6.29864,11.1146,3.13673,13.2458,22.2345,6.66691
Northern,Mbala,45.5,49.8,41.2,3.4,6.1,1.8,14.2,17.5,11.7,Mbala,5008255,TRUE,Northern,Zambia,52.1393,69.9685,34.5952,5.67175,10.1212,2.70302,17.0865,26.2331,9.38089
Luapula,Milenge,39.3,42.7,36,5.1,10,2,14.1,17.3,11.4,Milenge,4004255,TRUE,Luapula,Zambia,45.9096,65.1515,29.0266,5.91997,10.8463,2.93396,17.0218,26.9653,9.08475
Central,Mkushi,34.9,37.8,32.1,3.1,5.4,1.6,11.9,14.2,9.7,Mkushi,4001255,TRUE,Central,Zambia,43.9641,62.5657,27.1868,6.52619,11.155,3.24992,13.178,22.2589,6.99851
Western,Mongu,28.3,32.7,24.3,3.1,6.3,1.5,13,17,9.9,Mongu,4010255,TRUE,Western,Zambia,47.3168,66.797,29.5567,6.87776,12.1378,3.24957,14.9439,24.0945,8.27606
Southern,Monze,31.6,35.2,28.2,2.5,4.6,1.1,10.4,13.3,8.1,Monze,8009255,TRUE,Southern,Zambia,42.4471,61.1059,26.3766,6.14864,10.9635,2.72536,13.1497,22.1178,6.329
Northern,Mpika,37.1,40.4,33.6,4.1,7.4,2.1,13.3,16.2,10.6,Mpika,4006255,TRUE,Muchinga,Zambia,45.7967,62.3748,30.1273,5.0381,9.27319,2.20295,13.58,20.977,8.15166
Copperbelt,Mpongwe,32.7,35.7,29.8,3.7,6.9,1.6,11.4,13.8,9.4,MPongwe,8002255,TRUE,Copperbelt,Zambia,47.3794,65.3,29.2093,5.74326,9.86388,2.81031,12.82,21.2444,7.03269
Northern,Mporokoso,45.1,48.8,41.8,3,5.8,1.4,15,18,12.4,Mporokoso,6008255,TRUE,Northern,Zambia,48.9451,66.1656,31.9412,5.47046,9.78286,2.63204,16.206,25.8654,9.31648
Northern,Mpulungu,45.4,49.5,41.3,3.1,6.1,1.4,14.5,17.8,11.8,Mpulungu,7008255,TRUE,Northern,Zambia,52.433,70.3208,33.659,6.05169,10.2683,2.95698,17.591,26.7108,9.87015
Copperbelt,Mufulira,32.5,37.8,27.9,4.8,8.7,2.4,12.2,15.9,9.2,Mufulira,9002255,TRUE,Copperbelt,Zambia,41.1696,61.823,23.6627,5.52671,10.684,2.40647,12.3203,21.2291,6.10391
North-Western,Mufumbwe,30.4,34.1,26.9,3.4,6.7,1.5,12,14.9,9.5,Mufumbwe,4007255,TRUE,North-Western,Zambia,45.7133,64.2824,29.0067,6.13555,10.4472,2.89338,13.0703,22.015,6.49446
Central,Mumbwa,30.2,32.7,27.5,5.2,8.3,2.9,10.1,12.3,8.3,Mumbwa,5001255,TRUE,Central,Zambia,39.5175,62.1532,22.4366,5.59009,10.9175,2.52381,10.5749,17.6449,5.55249
Northern,Mungwi,40.9,44.4,37.1,3.2,5.5,1.7,14,17,11.6,Mungwi,8008255,TRUE,Northern,Zambia,50.5247,67.2357,33.4412,5.74359,10.0056,2.69499,16.5967,25.2871,9.74474
Luapula,Mwense,43.1,47.6,39.1,4.3,8,1.9,14.6,18.2,11.6,Mwense,5004255,TRUE,Luapula,Zambia,52.6937,71.7834,35.1326,6.24772,11.2571,2.95422,17.0891,27.4085,9.37211
North-Western,Mwinilunga,36.8,42.2,32,3.6,6.6,1.7,13.6,17.6,10.2,Mwinilunga,5007255,TRUE,North-Western,Zambia,46.2367,65.0914,29.9384,6.16844,10.7731,2.94383,14.3741,23.4783,7.58925
Northern,Nakonde,37.6,42.3,33.1,6.8,11.8,3.5,14.1,17.9,10.8,Nakonde,5006255,TRUE,Muchinga,Zambia,48.3434,67.0951,32.7668,5.41646,9.50418,2.71162,13.8473,22.9758,7.86795
Southern,Namwala,30,33.2,26.9,3.1,5.8,1.4,10.1,12.5,8.1,Namwala,9009255,TRUE,Southern,Zambia,43.1426,61.7007,26.9259,6.50932,11.4286,3.39959,13.3339,22.1069,7.28515
Luapula,Nchelenge,44.2,48.5,39.6,5.7,9.9,3,15.6,19.5,12.3,Nchelenge,6004255,TRUE,Luapula,Zambia,46.2008,65.3474,29.2576,6.03332,10.7124,2.89379,15.1926,25.4099,7.87469
Copperbelt,Ndola,32.2,36.8,27.9,4.8,8.3,2.6,12.3,15.8,9.4,Ndola,10002255,TRUE,Copperbelt,Zambia,39.3218,59.1591,21.7929,5.29438,9.88447,2.43807,11.4775,20.3,6.01977
Eastern,Nyimba,32.3,35.9,28.8,3.3,6.1,1.5,11.5,14.4,9.1,Nyimba,6003255,TRUE,Eastern,Zambia,52.2669,70.2314,34.9506,6.3031,10.9271,3.05113,13.2878,21.5,7.48907
Eastern,Petauke,33.6,36.9,30.3,2.5,4.5,1.4,10.7,13.3,8.5,Petauke,7003255,TRUE,Eastern,Zambia,52.2039,68.2882,35.9376,6.18286,11.1112,3.13156,12.4327,19.8885,6.59419
Luapula,Samfya,44.2,48.4,40.5,3.9,6.9,2,14.9,18,12.2,Samfya,7004255,TRUE,Luapula,Zambia,48.2846,68.7612,31.0543,5.908,10.733,2.72578,15.091,24.2551,8.63681
Western,Senanga,29.1,33.2,25.2,3,5.4,1.5,13,16.4,10.1,Senanga,5010255,TRUE,Western,Zambia,46.2979,64.587,29.1087,6.68354,11.6417,3.39375,15.2029,23.9839,8.37023
Central,Serenje,37.2,40.7,33.9,3.6,6.8,1.8,13.1,16,10.4,Serenje,6001255,TRUE,Central,Zambia,45.4382,64.3461,28.4828,6.03966,10.4556,3.19794,12.5469,20.0361,7.21978
Western,Sesheke,27.4,31.1,23.4,4.7,8.8,2.1,11.7,15,8.9,Sesheke,6010255,TRUE,Western,Zambia,47.0346,66.1733,28.3821,7.61272,13.0979,3.81817,17.0354,27.2569,8.46329
Western,Shangâ€™ombo,28.4,32.7,24.3,3.3,6.5,1.5,12.9,16.6,9.9,Shangombo,7010255,TRUE,Western,Zambia,39.7238,59.413,22.2192,6.06137,11.1693,2.87444,13.0309,22.2669,6.56361
Southern,Siavonga,30.5,34.6,26.7,5,10.6,1.9,11.1,14.2,8.5,Siavonga,10009255,TRUE,Southern,Zambia,44.3208,63.4812,28.1812,5.94245,10.0674,2.86068,13.718,22.184,6.9224
Southern,Sinazongwe,29,32.8,25.1,2.7,5.8,1,10.5,13.4,8,Sinazongwe,11009255,TRUE,Southern,Zambia,42.5563,60.223,27.2611,7.48336,13.3721,3.69826,14.402,24.0324,7.23621
North-Western,Solwezi,34.9,38.9,31,3.6,6.5,1.9,12,15,9.6,Solwezi,6007255,TRUE,North-Western,Zambia,45.251,62.5337,29.754,6.21222,10.3672,3.20652,13.3562,21.7825,6.82168
North-Western,Zambezi,31.2,35.8,27.1,2.8,5.6,1.1,12.2,15.7,9.3,Zambezi,7007255,TRUE,North-Western,Zambia,46.5774,63.9527,30.2304,6.76747,11.6208,3.4079,15.4989,24.5337,8.08367
