,Unnamed: 0,Unnamed: 1,Unnamed: 2,Stunting,Unnamed: 3,Unnamed: 4,Wasting,Unnamed: 5,Underweight,Unnamed: 6
0,Admin 1 Namea,Admin 2 Nameb,Percentage,Upper UI,Lower UI,Percentage,Upper UI,Lower UI,Percentage  Upper UI,Lower UI
1,North-Western,Kasempa,31.4,35.2,28.0,3.7,7.1,1.6,11.6 14.4,9.1
2,North-Western,Mufumbwe,30.4,34.1,26.9,3.4,6.7,1.5,12.0 14.9,9.5
3,North-Western,Mwinilunga,36.8,42.2,32.0,3.6,6.6,1.7,13.6 17.6,10.2
4,North-Western,Solwezi,34.9,38.9,31.0,3.6,6.5,1.9,12.0 15.0,9.6
5,North-Western,Zambezi,31.2,35.8,27.1,2.8,5.6,1.1,12.2 15.7,9.3
6,Northern,Chilubi,45.3,49.5,41.2,3.2,6.0,1.5,15.4 18.8,12.4
7,Northern,Chinsali,38.2,41.9,34.6,5.4,8.8,3.0,14.0 17.0,11.4
8,Northern,Isoka,36.9,41.1,32.4,12.2,19.1,7.1,14.6 18.3,11.4
9,Northern,Kaputa,44.1,48.3,40.0,4.4,7.8,2.2,14.9 18.2,12.0
10,Northern,Kasama,41.0,45.0,37.2,2.8,5.4,1.4,14.0 17.0,11.3
11,Northern,Luwingu,44.3,47.7,40.6,3.1,5.9,1.6,15.1 18.1,12.5
12,Northern,Mbala,45.5,49.8,41.2,3.4,6.1,1.8,14.2 17.5,11.7
13,Northern,Mpika,37.1,40.4,33.6,4.1,7.4,2.1,13.3 16.2,10.6
14,Northern,Mporokoso,45.1,48.8,41.8,3.0,5.8,1.4,15.0 18.0,12.4
15,Northern,Mpulungu,45.4,49.5,41.3,3.1,6.1,1.4,14.5 17.8,11.8
16,Northern,Mungwi,40.9,44.4,37.1,3.2,5.5,1.7,14.0 17.0,11.6
17,Northern,Nakonde,37.6,42.3,33.1,6.8,11.8,3.5,14.1 17.9,10.8
18,Southern,Choma,30.6,34.8,26.6,3.3,5.9,1.7,10.4 13.2,8.1
19,Southern,Gwembe,30.4,34.0,26.8,3.7,7.5,1.4,10.9 13.6,8.5
20,Southern,Itezhi-tezhi,29.2,32.4,26.2,3.8,7.8,1.7,10.8 13.5,8.5
21,Southern,Kalomo,29.1,32.3,26.2,2.9,4.5,1.6,10.5 12.9,8.4
22,Southern,Kazungula,26.9,30.5,23.5,2.7,5.1,1.2,10.0 12.7,7.7
23,Southern,Livingstone,24.2,30.0,19.2,1.9,4.6,0.7,9.0 13.4,5.8
24,Southern,Mazabuka,31.0,33.9,28.2,3.9,6.7,2.2,10.3 12.6,8.5
25,Southern,Monze,31.6,35.2,28.2,2.5,4.6,1.1,10.4 13.3,8.1
26,Southern,Namwala,30.0,33.2,26.9,3.1,5.8,1.4,10.1 12.5,8.1
27,Southern,Siavonga,30.5,34.6,26.7,5.0,10.6,1.9,11.1 14.2,8.5
28,Southern,Sinazongwe,29.0,32.8,25.1,2.7,5.8,1.0,10.5 13.4,8.0
29,Western,Kalabo,29.7,33.8,25.8,4.5,8.0,2.3,13.4 16.9,10.5
30,Western,Kaoma,29.7,33.2,26.4,3.1,5.9,1.4,12.5 15.6,10.0
31,Western,Lukulu,30.0,34.0,26.5,2.9,5.3,1.3,13.3 16.5,10.5
32,Western,Mongu,28.3,32.7,24.3,3.1,6.3,1.5,13.0 17.0,9.9
33,Western,Senanga,29.1,33.2,25.2,3.0,5.4,1.5,13.0 16.4,10.1
34,Western,Sesheke,27.4,31.1,23.4,4.7,8.8,2.1,11.7 15.0,8.9
35,Western,Shangâ€™ombo,28.4,32.7,24.3,3.3,6.5,1.5,12.9 16.6,9.9
