,0,1,2,locid
0,"{'stat': 'mean', 'value': 40.117}","{'stat': 'upper', 'value': 59.5094}","{'stat': 'lower', 'value': 23.9375}",4005255
0,"{'stat': 'mean', 'value': 39.3139}","{'stat': 'upper', 'value': 57.8983}","{'stat': 'lower', 'value': 23.1806}",3005255
0,"{'stat': 'mean', 'value': 40.5693}","{'stat': 'upper', 'value': 59.6286}","{'stat': 'lower', 'value': 23.7414}",2005255
0,"{'stat': 'mean', 'value': 39.6244}","{'stat': 'upper', 'value': 58.7358}","{'stat': 'lower', 'value': 22.8523}",1005255
0,"{'stat': 'mean', 'value': 45.4382}","{'stat': 'upper', 'value': 64.3461}","{'stat': 'lower', 'value': 28.4828}",6001255
0,"{'stat': 'mean', 'value': 39.5175}","{'stat': 'upper', 'value': 62.1532}","{'stat': 'lower', 'value': 22.4366}",5001255
0,"{'stat': 'mean', 'value': 43.9641}","{'stat': 'upper', 'value': 62.5657}","{'stat': 'lower', 'value': 27.1868}",4001255
0,"{'stat': 'mean', 'value': 42.7796}","{'stat': 'upper', 'value': 60.6632}","{'stat': 'lower', 'value': 26.2739}",2001255
0,"{'stat': 'mean', 'value': 38.4474}","{'stat': 'upper', 'value': 56.4054}","{'stat': 'lower', 'value': 23.1398}",1001255
0,"{'stat': 'mean', 'value': 52.4087}","{'stat': 'upper', 'value': 70.1024}","{'stat': 'lower', 'value': 34.7047}",3001255
0,"{'stat': 'mean', 'value': 39.1332}","{'stat': 'upper', 'value': 59.2142}","{'stat': 'lower', 'value': 22.0096}",4002255
0,"{'stat': 'mean', 'value': 39.3218}","{'stat': 'upper', 'value': 59.1591}","{'stat': 'lower', 'value': 21.7929}",10002255
0,"{'stat': 'mean', 'value': 41.1696}","{'stat': 'upper', 'value': 61.823}","{'stat': 'lower', 'value': 23.6627}",9002255
0,"{'stat': 'mean', 'value': 47.3794}","{'stat': 'upper', 'value': 65.3}","{'stat': 'lower', 'value': 29.2093}",8002255
0,"{'stat': 'mean', 'value': 42.7091}","{'stat': 'upper', 'value': 63.8623}","{'stat': 'lower', 'value': 24.7998}",3002255
0,"{'stat': 'mean', 'value': 41.1433}","{'stat': 'upper', 'value': 62.5558}","{'stat': 'lower', 'value': 23.5127}",2002255
0,"{'stat': 'mean', 'value': 43.4833}","{'stat': 'upper', 'value': 64.7065}","{'stat': 'lower', 'value': 25.5691}",1002255
0,"{'stat': 'mean', 'value': 46.2246}","{'stat': 'upper', 'value': 64.9714}","{'stat': 'lower', 'value': 29.0222}",7002255
0,"{'stat': 'mean', 'value': 47.8099}","{'stat': 'upper', 'value': 66.4277}","{'stat': 'lower', 'value': 30.5656}",6002255
0,"{'stat': 'mean', 'value': 41.5643}","{'stat': 'upper', 'value': 61.9744}","{'stat': 'lower', 'value': 23.1026}",5002255
0,"{'stat': 'mean', 'value': 49.1813}","{'stat': 'upper', 'value': 65.8493}","{'stat': 'lower', 'value': 33.68}",5003255
0,"{'stat': 'mean', 'value': 51.65}","{'stat': 'upper', 'value': 67.6033}","{'stat': 'lower', 'value': 34.4949}",4003255
0,"{'stat': 'mean', 'value': 52.2039}","{'stat': 'upper', 'value': 68.2882}","{'stat': 'lower', 'value': 35.9376}",7003255
0,"{'stat': 'mean', 'value': 52.2669}","{'stat': 'upper', 'value': 70.2314}","{'stat': 'lower', 'value': 34.9506}",6003255
0,"{'stat': 'mean', 'value': 50.7907}","{'stat': 'upper', 'value': 66.1883}","{'stat': 'lower', 'value': 33.7889}",1003255
0,"{'stat': 'mean', 'value': 50.1488}","{'stat': 'upper', 'value': 67.9629}","{'stat': 'lower', 'value': 33.5101}",3003255
0,"{'stat': 'mean', 'value': 48.7733}","{'stat': 'upper', 'value': 64.4692}","{'stat': 'lower', 'value': 32.4881}",2003255
0,"{'stat': 'mean', 'value': 48.2846}","{'stat': 'upper', 'value': 68.7612}","{'stat': 'lower', 'value': 31.0543}",7004255
0,"{'stat': 'mean', 'value': 52.6937}","{'stat': 'upper', 'value': 71.7834}","{'stat': 'lower', 'value': 35.1326}",5004255
0,"{'stat': 'mean', 'value': 45.9096}","{'stat': 'upper', 'value': 65.1515}","{'stat': 'lower', 'value': 29.0266}",4004255
0,"{'stat': 'mean', 'value': 47.9108}","{'stat': 'upper', 'value': 65.6791}","{'stat': 'lower', 'value': 31}",3004255
0,"{'stat': 'mean', 'value': 50.4891}","{'stat': 'upper', 'value': 68.4065}","{'stat': 'lower', 'value': 33.6812}",2004255
0,"{'stat': 'mean', 'value': 46.2008}","{'stat': 'upper', 'value': 65.3474}","{'stat': 'lower', 'value': 29.2576}",6004255
0,"{'stat': 'mean', 'value': 46.7862}","{'stat': 'upper', 'value': 66.7833}","{'stat': 'lower', 'value': 28.6877}",1004255
0,"{'stat': 'mean', 'value': 48.3434}","{'stat': 'upper', 'value': 67.0951}","{'stat': 'lower', 'value': 32.7668}",5006255
0,"{'stat': 'mean', 'value': 45.7967}","{'stat': 'upper', 'value': 62.3748}","{'stat': 'lower', 'value': 30.1273}",4006255
0,"{'stat': 'mean', 'value': 46.339}","{'stat': 'upper', 'value': 62.7388}","{'stat': 'lower', 'value': 30.5568}",3006255
0,"{'stat': 'mean', 'value': 49.0996}","{'stat': 'upper', 'value': 65.1286}","{'stat': 'lower', 'value': 32.1037}",2006255
0,"{'stat': 'mean', 'value': 49.9978}","{'stat': 'upper', 'value': 67.7244}","{'stat': 'lower', 'value': 34.6018}",1006255
0,"{'stat': 'mean', 'value': 46.5774}","{'stat': 'upper', 'value': 63.9527}","{'stat': 'lower', 'value': 30.2304}",7007255
0,"{'stat': 'mean', 'value': 45.251}","{'stat': 'upper', 'value': 62.5337}","{'stat': 'lower', 'value': 29.754}",6007255
0,"{'stat': 'mean', 'value': 46.2367}","{'stat': 'upper', 'value': 65.0914}","{'stat': 'lower', 'value': 29.9384}",5007255
0,"{'stat': 'mean', 'value': 48.6988}","{'stat': 'upper', 'value': 66.8785}","{'stat': 'lower', 'value': 30.2473}",1007255
0,"{'stat': 'mean', 'value': 45.7133}","{'stat': 'upper', 'value': 64.2824}","{'stat': 'lower', 'value': 29.0067}",4007255
0,"{'stat': 'mean', 'value': 49.2744}","{'stat': 'upper', 'value': 68.7642}","{'stat': 'lower', 'value': 29.8754}",2007255
0,"{'stat': 'mean', 'value': 47.2079}","{'stat': 'upper', 'value': 65.2029}","{'stat': 'lower', 'value': 29.9705}",3007255
0,"{'stat': 'mean', 'value': 52.433}","{'stat': 'upper', 'value': 70.3208}","{'stat': 'lower', 'value': 33.659}",7008255
0,"{'stat': 'mean', 'value': 48.9451}","{'stat': 'upper', 'value': 66.1656}","{'stat': 'lower', 'value': 31.9412}",6008255
0,"{'stat': 'mean', 'value': 52.1393}","{'stat': 'upper', 'value': 69.9685}","{'stat': 'lower', 'value': 34.5952}",5008255
0,"{'stat': 'mean', 'value': 49.6995}","{'stat': 'upper', 'value': 67.5403}","{'stat': 'lower', 'value': 33.8966}",4008255
0,"{'stat': 'mean', 'value': 50.5247}","{'stat': 'upper', 'value': 67.2357}","{'stat': 'lower', 'value': 33.4412}",8008255
0,"{'stat': 'mean', 'value': 47.6315}","{'stat': 'upper', 'value': 64.6929}","{'stat': 'lower', 'value': 30.373}",3008255
0,"{'stat': 'mean', 'value': 50.6579}","{'stat': 'upper', 'value': 67.4931}","{'stat': 'lower', 'value': 33.8048}",2008255
0,"{'stat': 'mean', 'value': 52.8348}","{'stat': 'upper', 'value': 70.6979}","{'stat': 'lower', 'value': 35.0144}",1008255
0,"{'stat': 'mean', 'value': 44.3208}","{'stat': 'upper', 'value': 63.4812}","{'stat': 'lower', 'value': 28.1812}",10009255
0,"{'stat': 'mean', 'value': 40.6527}","{'stat': 'upper', 'value': 58.2318}","{'stat': 'lower', 'value': 24.6898}",5009255
0,"{'stat': 'mean', 'value': 43.1426}","{'stat': 'upper', 'value': 61.7007}","{'stat': 'lower', 'value': 26.9259}",9009255
0,"{'stat': 'mean', 'value': 43.1134}","{'stat': 'upper', 'value': 60.1309}","{'stat': 'lower', 'value': 26.4126}",4009255
0,"{'stat': 'mean', 'value': 34.6612}","{'stat': 'upper', 'value': 53.2833}","{'stat': 'lower', 'value': 17.7014}",6009255
0,"{'stat': 'mean', 'value': 41.882}","{'stat': 'upper', 'value': 59.61}","{'stat': 'lower', 'value': 25.061}",1009255
0,"{'stat': 'mean', 'value': 42.4471}","{'stat': 'upper', 'value': 61.1059}","{'stat': 'lower', 'value': 26.3766}",8009255
0,"{'stat': 'mean', 'value': 42.5151}","{'stat': 'upper', 'value': 60.3203}","{'stat': 'lower', 'value': 26.9401}",7009255
0,"{'stat': 'mean', 'value': 42.5563}","{'stat': 'upper', 'value': 60.223}","{'stat': 'lower', 'value': 27.2611}",11009255
0,"{'stat': 'mean', 'value': 45.5363}","{'stat': 'upper', 'value': 63.4757}","{'stat': 'lower', 'value': 28.2115}",3009255
0,"{'stat': 'mean', 'value': 43.6099}","{'stat': 'upper', 'value': 62.692}","{'stat': 'lower', 'value': 27.3028}",2009255
0,"{'stat': 'mean', 'value': 47.0346}","{'stat': 'upper', 'value': 66.1733}","{'stat': 'lower', 'value': 28.3821}",6010255
0,"{'stat': 'mean', 'value': 39.7238}","{'stat': 'upper', 'value': 59.413}","{'stat': 'lower', 'value': 22.2192}",7010255
0,"{'stat': 'mean', 'value': 46.2979}","{'stat': 'upper', 'value': 64.587}","{'stat': 'lower', 'value': 29.1087}",5010255
0,"{'stat': 'mean', 'value': 41.676}","{'stat': 'upper', 'value': 60.0727}","{'stat': 'lower', 'value': 24.7087}",3010255
0,"{'stat': 'mean', 'value': 47.027}","{'stat': 'upper', 'value': 65.7654}","{'stat': 'lower', 'value': 30.1396}",2010255
0,"{'stat': 'mean', 'value': 42.9425}","{'stat': 'upper', 'value': 61.0597}","{'stat': 'lower', 'value': 25.5172}",1010255
0,"{'stat': 'mean', 'value': 47.3168}","{'stat': 'upper', 'value': 66.797}","{'stat': 'lower', 'value': 29.5567}",4010255
